('0', '0', 'C', '4') 1214
('0', '0', 'C', '5') 670
('0', '0', 'C', '6') 2500
('0', '0', 'C', '7') 3710
('0', '0', 'C', '8') 5246
('0', '0', 'C', '9') 206
('0', '0', 'C', 'A') 702
('0', '0', 'C', 'B') 6862
('0', '0', 'C', 'C') 2302
('0', '0', 'C', 'D') 7326
('0', '0', 'C', 'E') 1086
('0', '0', 'C', 'F') 7710
('0', '0', 'D', '0') 334
('0', '0', 'D', '1') 286
('0', '0', 'D', '2') 2430
('0', '0', 'D', '3') 1390
('0', '0', 'D', '4') 8590
('0', '0', 'D', '5') 2782
('0', '0', 'D', '6') 2494
('0', '0', 'D', '7') 798
('0', '0', 'D', '8') 1582
('0', '0', 'D', '9') 543
('0', '0', 'D', 'A') 8894
('0', '0', 'D', 'B') 1982
('0', '0', 'D', 'C') 1342
('0', '0', 'D', 'D') 5822
('0', '0', 'D', 'E') 2350
('0', '0', 'D', 'F') 2706
('0', '0', 'E', '0') 1822
('0', '0', 'E', '1') 2878
('0', '0', 'E', '2') 5342
('0', '0', 'E', '3') 2078
('0', '0', 'E', '4') 4622
('0', '0', 'E', '5') 3486
('0', '0', 'E', '6') 862
('0', '0', 'E', '7') 4270
('0', '0', 'E', '8') 7470
('0', '0', 'E', '9') 1326
('0', '0', 'E', 'A') 3198
('0', '0', 'E', 'B') 1358
('0', '0', 'E', 'C') 110
('0', '0', 'E', 'D') 12318
('0', '0', 'E', 'E') 6622
('0', '0', 'E', 'F') 1310
('0', '0', 'F', '0') 3886
('0', '0', 'F', '1') 398
('0', '0', 'F', '2') 3310
('0', '0', 'F', '3') 10254
('0', '0', 'F', '4') 526
('0', '0', 'F', '5') 13950
('0', '0', 'F', '6') 1407
('0', '0', 'F', '7') 6446
('0', '0', 'F', '8') 7134
('0', '0', 'F', '9') 15359
('0', '0', 'F', 'A') 7566
('0', '0', 'F', 'B') 1262
('0', '0', 'F', 'C') 7742
('0', '0', 'F', 'D') 2606
('0', '0', 'F', 'E') 7422
('0', '0', 'F', 'F') 4286
('0', '1', '0', '0') 843
('0', '1', '0', '1') 97055
('0', '1', '0', '2') 62207
('0', '1', '0', '3') 5935
('0', '1', '0', '4') 37471
('0', '1', '0', '5') 8303
('0', '1', '0', '6') 31250
('0', '1', '0', '7') 90086
('0', '1', '0', '8') 48095
('0', '1', '0', '9') 69591
('0', '1', '0', 'A') 56929
('0', '1', '0', 'B') 53311
('0', '1', '0', 'C') 89839
('0', '1', '0', 'D') 15487
('0', '1', '0', 'E') 37567
('0', '1', '0', 'F') 2903
('0', '1', '1', '0') 19095
('0', '1', '1', '1') 15106
('0', '1', '1', '2') 77727
('0', '1', '1', '3') 14792
('0', '1', '1', '4') 975
('0', '1', '1', '5') 11873
('0', '1', '1', '6') 21247
('0', '1', '1', '7') 76095
('0', '1', '1', '8') 28223
('0', '1', '1', '9') 14904
('0', '1', '1', 'A') 2899
('0', '1', '1', 'B') 21761
('0', '1', '1', 'C') 4031
('0', '1', '1', 'D') 86275
('0', '1', '1', 'E') 7167
('0', '1', '1', 'F') 27353
('0', '1', '2', '0') 8649
('0', '1', '2', '1') 106358
('0', '1', '2', '2') 39663
('0', '1', '2', '3') 67185
('0', '1', '2', '4') 60550
('0', '1', '2', '5') 34696
('0', '1', '2', '6') 25332
('0', '1', '2', '7') 10145
('0', '1', '2', '8') 29078
('0', '1', '2', '9') 90783
('0', '1', '2', 'A') 5855
('0', '1', '2', 'B') 15439
('0', '1', '2', 'C') 33951
('0', '1', '2', 'D') 43119
('0', '1', '2', 'E') 43111
('0', '1', '2', 'F') 28783
('0', '1', '3', '0') 2266
('0', '1', '3', '1') 31
('0', '1', '3', '2') 35689
('0', '1', '3', '3') 2239
('0', '1', '3', '4') 18576
('0', '1', '3', '5') 97439
('0', '1', '3', '6') 66655
('0', '1', '3', '7') 147
('0', '1', '3', '8') 20009
('0', '1', '3', '9') 62487
('0', '1', '3', 'A') 5206
('0', '1', '3', 'B') 18568
('0', '1', '3', 'C') 661
('0', '1', '3', 'D') 6743
('0', '1', '3', 'E') 102691
('0', '1', '3', 'F') 41615
('0', '1', '4', '0') 33850
('0', '1', '4', '1') 30696
('0', '1', '4', '2') 8703
('0', '1', '4', '3') 31237
('0', '1', '4', '4') 38895
('0', '1', '4', '5') 145023
('0', '1', '4', '6') 7871
('0', '1', '4', '7') 21983
('0', '1', '4', '8') 20415
('0', '1', '4', '9') 31984
('0', '1', '4', 'A') 17363
('0', '1', '4', 'B') 29919
('0', '1', '4', 'C') 111967
('0', '1', '4', 'D') 36831
('0', '1', '4', 'E') 22319
('0', '1', '4', 'F') 17615
('0', '1', '5', '0') 13791
('0', '1', '5', '1') 18487
('0', '1', '5', '2') 6687
('0', '1', '5', '3') 8407
('0', '1', '5', '4') 31976
('0', '1', '5', '5') 83823
('0', '1', '5', '6') 62287
('0', '1', '5', '7') 151423
('0', '1', '5', '8') 31530
('0', '1', '5', '9') 33574
('0', '1', '5', 'A') 68815
('0', '1', '5', 'B') 23135
('0', '1', '5', 'C') 5625
('0', '1', '5', 'D') 102419
('0', '1', '5', 'E') 15343
('0', '1', '5', 'F') 24144
('0', '1', '6', '0') 49722
('0', '1', '6', '1') 15839
('0', '1', '6', '2') 125087
('0', '1', '6', '3') 30511
('0', '1', '6', '4') 16295
('0', '1', '6', '5') 3615
('0', '1', '6', '6') 7183
('0', '1', '6', '7') 18623
('0', '1', '6', '8') 47561
('0', '1', '6', '9') 15535
('0', '1', '6', 'A') 114383
('0', '1', '6', 'B') 52031
('0', '1', '6', 'C') 20017
('0', '1', '6', 'D') 31199
('0', '1', '6', 'E') 91663
('0', '1', '6', 'F') 82532
('0', '1', '7', '0') 76127
('0', '1', '7', '1') 10137
('0', '1', '7', '2') 25695
('0', '1', '7', '3') 18959
('0', '1', '7', '4') 18224
('0', '1', '7', '5') 48367
('0', '1', '7', '6') 1716
('0', '1', '7', '7') 12001
('0', '1', '7', '8') 22751
('0', '1', '7', '9') 65049
('0', '1', '7', 'A') 13480
('0', '1', '7', 'B') 18216
('0', '1', '7', 'C') 74473
('0', '1', '7', 'D') 13488
('0', '1', '7', 'E') 30354
('0', '1', '7', 'F') 14468
('0', '1', '8', '0') 22651
('0', '1', '8', '1') 10853
('0', '1', '8', '2') 20959
('0', '1', '8', '3') 5391
('0', '1', '8', '4') 40639
('0', '1', '8', '5') 178271
('0', '1', '8', '6') 51727
('0', '1', '8', '7') 138633
('0', '1', '8', '8') 12212
('0', '1', '8', '9') 53414
('0', '1', '8', 'A') 3519
