('B', '7', '2', 'A') Not found in tenthousand
('B', '7', '3', '3') Not found in tenthousand
('B', '7', '5', '3') Not found in tenthousand
('B', '8', 'A', 'C') Not found in tenthousand
('B', 'A', '0', 'E') Not found in tenthousand
('B', 'A', '7', '4') Not found in tenthousand
('B', 'D', '1', '6') Not found in tenthousand
('B', 'D', 'C', 'F') Not found in tenthousand
('B', 'E', '8', '5') Not found in tenthousand
('B', 'E', '8', 'E') Not found in tenthousand
('B', 'F', 'A', '7') Not found in tenthousand
('B', 'F', 'F', 'D') Not found in tenthousand
('C', '0', '0', 'C') Not found in tenthousand
('C', '2', 'D', '5') Not found in tenthousand
('C', '2', 'F', '5') Not found in tenthousand
('C', '3', '6', 'C') Not found in tenthousand
('C', '4', 'A', 'E') Not found in tenthousand
('C', '7', '1', '7') Not found in tenthousand
('C', 'A', 'A', '7') Not found in tenthousand
('C', 'B', 'C', '1') Not found in tenthousand
('C', 'B', 'F', '2') Not found in tenthousand
('C', 'D', '1', 'E') Not found in tenthousand
('D', '0', '4', '9') Not found in tenthousand
('D', '3', '5', '1') Not found in tenthousand
('D', '4', 'A', '3') Not found in tenthousand
('D', '6', 'B', '7') Not found in tenthousand
('D', '7', 'B', '9') Not found in tenthousand
('D', '7', 'D', '3') Not found in tenthousand
('D', '8', 'B', '7') Not found in tenthousand
('D', '9', '1', '9') Not found in tenthousand
('D', 'A', '0', '4') Not found in tenthousand
('D', 'A', 'B', '5') Not found in tenthousand
('D', 'B', 'C', '9') Not found in tenthousand
('D', 'D', '2', 'A') Not found in tenthousand
('E', '1', '0', '4') Not found in tenthousand
('E', '1', '4', 'D') Not found in tenthousand
('E', '2', '7', '2') Not found in tenthousand
('E', '2', 'A', '5') Not found in tenthousand
('E', '3', '0', 'F') Not found in tenthousand
('E', '3', '1', '6') Not found in tenthousand
('E', '3', '6', '3') Not found in tenthousand
('E', '4', 'A', 'E') Not found in tenthousand
('E', '5', '6', '7') Not found in tenthousand
('E', '6', '2', 'B') Not found in tenthousand
('E', '7', '2', '9') Not found in tenthousand
('E', '7', '4', '3') Not found in tenthousand
('E', '8', '4', '9') Not found in tenthousand
('E', 'A', '6', '7') Not found in tenthousand
('E', 'A', 'C', '7') Not found in tenthousand
('E', 'B', '0', '9') Not found in tenthousand
('E', 'B', '2', 'B') Not found in tenthousand
('E', 'C', '1', '9') Not found in tenthousand
('E', 'C', '9', 'E') Not found in tenthousand
('E', 'C', 'E', '3') Not found in tenthousand
('E', 'C', 'F', 'D') Not found in tenthousand
('E', 'D', '8', '6') Not found in tenthousand
('E', 'D', 'D', 'D') Not found in tenthousand
('E', 'F', '3', 'D') Not found in tenthousand
('F', '0', '7', 'B') Not found in tenthousand
('F', '1', '0', '9') Not found in tenthousand
('F', '1', '2', '1') Not found in tenthousand
('F', '2', 'A', 'A') Not found in tenthousand
('F', '4', 'E', 'F') Not found in tenthousand
('F', '6', '5', 'F') Not found in tenthousand
('F', '7', '2', '3') Not found in tenthousand
('F', '8', '4', '3') Not found in tenthousand
('F', 'F', '7', 'E') Not found in tenthousand
('F', 'F', '9', 'E') Not found in tenthousand
