('0', '0', '0') 13
('0', '0', '1') 30
('0', '0', '2') 78
('0', '0', '3') 47
('0', '0', '4') 126
('0', '0', '5') 846
('0', '0', '6') 366
('0', '0', '7') 494
('0', '0', '8') 14
('0', '0', '9') 254
('0', '0', 'A') 62
('0', '0', 'B') 158
('0', '0', 'C') 190
('0', '0', 'D') 286
('0', '0', 'E') 110
('0', '0', 'F') 398
('0', '1', '0') 843
('0', '1', '1') 975
('0', '1', '2') 5855
('0', '1', '3') 31
('0', '1', '4') 7871
('0', '1', '5') 5625
('0', '1', '6') 3615
('0', '1', '7') 1716
('0', '1', '8') 3519
('0', '1', '9') 2191
('0', '1', 'A') 337
('0', '1', 'B') 1849
('0', '1', 'C') 329
('0', '1', 'D') 777
('0', '1', 'E') 785
('0', '1', 'F') 450
('0', '2', '0') 1819
('0', '2', '1') 1503
('0', '2', '2') 3839
('0', '2', '3') 677
('0', '2', '4') 415
('0', '2', '5') 2047
('0', '2', '6') 9279
('0', '2', '7') 2505
('0', '2', '8') 687
('0', '2', '9') 79
('0', '2', 'A') 655
('0', '2', 'B') 1055
('0', '2', 'C') 2513
('0', '2', 'D') 2959
('0', '2', 'E') 1350
('0', '2', 'F') 319
('0', '3', '0') 5035
('0', '3', '1') 5937
('0', '3', '2') 1301
('0', '3', '3') 6776
('0', '3', '4') 175
('0', '3', '5') 14008
('0', '3', '6') 1903
('0', '3', '7') 40
('0', '3', '8') 143
('0', '3', '9') 745
('0', '3', 'A') 753
('0', '3', 'B') 1183
('0', '3', 'C') 2591
('0', '3', 'D') 4954
('0', '3', 'E') 2223
('0', '3', 'F') 223
('0', '4', '0') 1855
('0', '4', '1') 5017
('0', '4', '2') 1935
('0', '4', '3') 5976
('0', '4', '4') 10911
('0', '4', '5') 127
('0', '4', '6') 1462
('0', '4', '7') 7807
('0', '4', '8') 1279
('0', '4', '9') 1999
('0', '4', 'A') 1477
('0', '4', 'B') 2120
('0', '4', 'C') 2128
('0', '4', 'D') 2342
('0', '4', 'E') 1887
('0', '4', 'F') 3359
('0', '5', '0') 43
('0', '5', '1') 10607
('0', '5', '2') 4101
('0', '5', '3') 2679
('0', '5', '4') 7349
('0', '5', '5') 847
('0', '5', '6') 1871
('0', '5', '7') 895
('0', '5', '8') 7391
('0', '5', '9') 3638
('0', '5', 'A') 4601
('0', '5', 'B') 4655
('0', '5', 'C') 851
('0', '5', 'D') 1287
('0', '5', 'E') 2175
('0', '5', 'F') 5967
('0', '6', '0') 459
('0', '6', '1') 1247
('0', '6', '2') 3071
('0', '6', '3') 479
('0', '6', '4') 6943
('0', '6', '5') 3685
('0', '6', '6') 1231
('0', '6', '7') 1535
('0', '6', '8') 2207
('0', '6', '9') 1471
('0', '6', 'A') 367
('0', '6', 'B') 1199
('0', '6', 'C') 767
('0', '6', 'D') 2271
('0', '6', 'E') 1631
('0', '6', 'F') 1825
('0', '7', '0') 1817
('0', '7', '1') 495
('0', '7', '2') 559
('0', '7', '3') 51
('0', '7', '4') 1071
('0', '7', '5') 2016
('0', '7', '6') 2426
('0', '7', '7') 3695
('0', '7', '8') 139
('0', '7', '9') 4586
('0', '7', 'A') 1151
('0', '7', 'B') 607
('0', '7', 'C') 1007
('0', '7', 'D') 1791
('0', '7', 'E') 1671
('0', '7', 'F') 4975
('0', '8', '0') 440
('0', '8', '1') 4175
('0', '8', '2') 88
('0', '8', '3') 1423
('0', '8', '4') 4783
('0', '8', '5') 15
('0', '8', '6') 4773
('0', '8', '7') 7087
('0', '8', '8') 3327
('0', '8', '9') 271
('0', '8', 'A') 14031
('0', '8', 'B') 3471
('0', '8', 'C') 1759
('0', '8', 'D') 20
('0', '8', 'E') 735
('0', '8', 'F') 3295
('0', '9', '0') 1627
('0', '9', '1') 58
('0', '9', '2') 255
('0', '9', '3') 66
('0', '9', '4') 4594
('0', '9', '5') 2291
('0', '9', '6') 1599
('0', '9', '7') 2111
('0', '9', '8') 303
('0', '9', '9') 2033
('0', '9', 'A') 2975
('0', '9', 'B') 1103
('0', '9', 'C') 639
('0', '9', 'D') 11039
('0', '9', 'E') 1487
('0', '9', 'F') 2161
('0', 'A', '0') 2153
('0', 'A', '1') 991
('0', 'A', '2') 6354
('0', 'A', '3') 7535
('0', 'A', '4') 63
('0', 'A', '5') 6150
('0', 'A', '6') 6511
('0', 'A', '7') 11887
('0', 'A', '8') 7387
('0', 'A', '9') 4335
('0', 'A', 'A') 879
('0', 'A', 'B') 1551
('0', 'A', 'C') 193
('0', 'A', 'D') 185
('0', 'A', 'E') 3183
('0', 'A', 'F') 1119
('0', 'B', '0') 783
('0', 'B', '1') 6527
('0', 'B', '2') 6927
('0', 'B', '3') 431
('0', 'B', '4') 959
('0', 'B', '5') 239
('0', 'B', '6') 949
('0', 'B', '7') 3573
('0', 'B', '8') 351
('0', 'B', '9') 2447
('0', 'B', 'A') 292
('0', 'B', 'B') 2855
('0', 'B', 'C') 1434
('0', 'B', 'D') 815
('0', 'B', 'E') 159
('0', 'B', 'F') 8719
('0', 'C', '0') 191
('0', 'C', '1') 2143
('0', 'C', '2') 623
('0', 'C', '3') 6559
('0', 'C', '4') 1215
('0', 'C', '5') 671
('0', 'C', '6') 180
('0', 'C', '7') 3711
('0', 'C', '8') 5247
('0', 'C', '9') 207
('0', 'C', 'A') 695
('0', 'C', 'B') 2401
('0', 'C', 'C') 2303
('0', 'C', 'D') 2393
('0', 'C', 'E') 1087
('0', 'C', 'F') 5090
('0', 'D', '0') 335
('0', 'D', '1') 287
('0', 'D', '2') 1573
('0', 'D', '3') 1391
('0', 'D', '4') 1530
('0', 'D', '5') 643
('0', 'D', '6') 2495
('0', 'D', '7') 799
('0', 'D', '8') 485
('0', 'D', '9') 536
('0', 'D', 'A') 8895
('0', 'D', 'B') 1983
('0', 'D', 'C') 1343
('0', 'D', 'D') 213
('0', 'D', 'E') 2351
('0', 'D', 'F') 2707
('0', 'E', '0') 1823
('0', 'E', '1') 2879
('0', 'E', '2') 3812
('0', 'E', '3') 2079
('0', 'E', '4') 4615
('0', 'E', '5') 3487
