('0', '0', '0') 2094
('0', '0', '1') 1251R
('0', '0', '2') 732R
('0', '0', '3') 2651
('0', '0', '4') 733
('0', '0', '5') 2052
('0', '0', '6') 1067
('0', '0', '7') 2475
('0', '0', '8') 47
('0', '0', '9') 1672R
('0', '0', 'A') 985
('0', '0', 'B') 1924
('0', '0', 'C') 1066R
('0', '0', 'D') 46R
('0', '0', 'E') 1353R
('0', '0', 'F') 1944R
('0', '1', '0') 1455
('0', '1', '1') 1451
('0', '1', '2') 3745R
('0', '1', '3') 75
('0', '1', '4') 4888R
('0', '1', '5') 2050R
('0', '1', '6') 8151
('0', '1', '7') 860
('0', '1', '8') 2781R
('0', '1', '9') 6686
('0', '1', 'A') 169
('0', '1', 'B') 475R
('0', '1', 'C') 1677
('0', '1', 'D') 1566
('0', '1', 'E') 393
('0', '1', 'F') 226
('0', '2', '0') 2536
('0', '2', '1') 923R
('0', '2', '2') 4591R
('0', '2', '3') 341
('0', '2', '4') 731R
('0', '2', '5') 1905
('0', '2', '6') 5345
('0', '2', '7') 5058R
('0', '2', '8') 3946R
('0', '2', '9') 243R
('0', '2', 'A') 1990R
('0', '2', 'B') 5954
('0', '2', 'C') 1257
('0', '2', 'D') 1216R
('0', '2', 'E') 678
('0', '2', 'F') 1553R
('0', '3', '0') 2652
('0', '3', '1') 2969
('0', '3', '2') 653
('0', '3', '3') 3392
('0', '3', '4') 874R
('0', '3', '5') 2468R
('0', '3', '6') 2880R
('0', '3', '7') 24
('0', '3', '8') 2363R
('0', '3', '9') 2778R
('0', '3', 'A') 10R
('0', '3', 'B') 1145R
('0', '3', 'C') 321R
('0', '3', 'D') 4219
('0', '3', 'E') 3121
('0', '3', 'F') 2726
('0', '4', '0') 2534
('0', '4', '1') 4251R
('0', '4', '2') 4474
('0', '4', '3') 927R
('0', '4', '4') 461R
('0', '4', '5') 197
('0', '4', '6') 734
('0', '4', '7') 1212R
('0', '4', '8') 4365R
('0', '4', '9') 2231
('0', '4', 'A') 32R
('0', '4', 'B') 2732
('0', '4', 'C') 1064
('0', '4', 'D') 1174
('0', '4', 'E') 6100R
('0', '4', 'F') 4478R
('0', '5', '0') 837
('0', '5', '1') 2943R
('0', '5', '2') 1906R
('0', '5', '3') 1343
('0', '5', '4') 2815R
('0', '5', '5') 463
('0', '5', '6') 4707
('0', '5', '7') 2210R
('0', '5', '8') 2186R
('0', '5', '9') 1822
('0', '5', 'A') 2470
('0', '5', 'B') 3501R
('0', '5', 'C') 107R
('0', '5', 'D') 647
('0', '5', 'E') 1043R
('0', '5', 'F') 1313R
('0', '6', '0') 375
('0', '6', '1') 958
('0', '6', '2') 331R
('0', '6', '3') 2290R
('0', '6', '4') 2646R
('0', '6', '5') 425R
('0', '6', '6') 1184R
('0', '6', '7') 1341R
('0', '6', '8') 345R
('0', '6', '9') 800R
('0', '6', 'A') 783
('0', '6', 'B') 1068
('0', '6', 'C') 429R
('0', '6', 'D') 2064R
('0', '6', 'E') 2243R
('0', '6', 'F') 913
('0', '7', '0') 13317
('0', '7', '1') 1190
('0', '7', '2') 2757
('0', '7', '3') 25R
('0', '7', '4') 122R
('0', '7', '5') 1008
('0', '7', '6') 768R
('0', '7', '7') 956R
('0', '7', '8') 2482
('0', '7', '9') 8405R
('0', '7', 'A') 2195R
('0', '7', 'B') 9602R
('0', '7', 'C') 3417R
('0', '7', 'D') 1985
('0', '7', 'E') 839
('0', '7', 'F') 222R
('0', '8', '0') 224
('0', '8', '1') 380R
('0', '8', '2') 48
('0', '8', '3') 4729
('0', '8', '4') 4053
('0', '8', '5') 347
('0', '8', '6') 1815R
('0', '8', '7') 4051R
('0', '8', '8') 7505
('0', '8', '9') 1015R
('0', '8', 'A') 5994R
('0', '8', 'B') 2096
('0', '8', 'C') 651R
('0', '8', 'D') 12
('0', '8', 'E') 1617
('0', '8', 'F') 3119R
('0', '9', '0') 7176
('0', '9', '1') 124
('0', '9', '2') 1671R
('0', '9', '3') 34
('0', '9', '4') 1902R
('0', '9', '5') 1147
('0', '9', '6') 2416
('0', '9', '7') 1517R
('0', '9', '8') 12377
('0', '9', '9') 1017
('0', '9', 'A') 5828
('0', '9', 'B') 1005
('0', '9', 'C') 195R
('0', '9', 'D') 2908R
('0', '9', 'E') 90R
('0', '9', 'F') 1081
('0', 'A', '0') 2730
('0', 'A', '1') 787R
('0', 'A', '2') 2120R
('0', 'A', '3') 3877R
('0', 'A', '4') 2083
('0', 'A', '5') 1613R
('0', 'A', '6') 4393R
('0', 'A', '7') 5617R
('0', 'A', '8') 3908R
('0', 'A', '9') 1885R
('0', 'A', 'A') 3400R
('0', 'A', 'B') 5050R
('0', 'A', 'C') 97
('0', 'A', 'D') 1246
('0', 'A', 'E') 1685R
('0', 'A', 'F') 1623
('0', 'B', '0') 12108
('0', 'B', '1') 339R
('0', 'B', '2') 8982R
('0', 'B', '3') 2161R
('0', 'B', '4') 722
('0', 'B', '5') 1218
('0', 'B', '6') 477
('0', 'B', '7') 1429R
('0', 'B', '8') 1736R
('0', 'B', '9') 970R
('0', 'B', 'A') 148
('0', 'B', 'B') 391R
('0', 'B', 'C') 373R
('0', 'B', 'D') 992R
('0', 'B', 'E') 5851
('0', 'B', 'F') 4217R
('0', 'C', '0') 2524
('0', 'C', '1') 1003R
('0', 'C', '2') 6543R
('0', 'C', '3') 1199R
('0', 'C', '4') 1065R
('0', 'C', '5') 3527R
('0', 'C', '6') 92
('0', 'C', '7') 1878
('0', 'C', '8') 5060
('0', 'C', '9') 770
('0', 'C', 'A') 351
('0', 'C', 'B') 1201
('0', 'C', 'C') 95R
('0', 'C', 'D') 2568R
('0', 'C', 'E') 4406R
('0', 'C', 'F') 2546
('0', 'D', '0') 1615
('0', 'D', '1') 45R
('0', 'D', '2') 789
('0', 'D', '3') 1171R
('0', 'D', '4') 983R
('0', 'D', '5') 323
('0', 'D', '6') 1887
('0', 'D', '7') 977R
('0', 'D', '8') 73R
('0', 'D', '9') 272
('0', 'D', 'A') 1320R
('0', 'D', 'B') 167R
('0', 'D', 'C') 5198
('0', 'D', 'D') 109
('0', 'D', 'E') 5260R
('0', 'D', 'F') 1355
('0', 'E', '0') 3948
('0', 'E', '1') 1519
('0', 'E', '2') 22R
('0', 'E', '3') 1352R
('0', 'E', '4') 2311
('0', 'E', '5') 1629R
('0', 'E', '6') 382
('0', 'E', '7') 270R
('0', 'E', '8') 388
('0', 'E', '9') 386R
('0', 'E', 'A') 2544R
('0', 'E', 'B') 1720R
('0', 'E', 'C') 1059R
('0', 'E', 'D') 8926R
('0', 'E', 'E') 911R
('0', 'E', 'F') 1781R
('0', 'F', '0') 8092
('0', 'F', '1') 2532R
('0', 'F', '2') 1186
('0', 'F', '3') 5591R
('0', 'F', '4') 4315
('0', 'F', '5') 349R
('0', 'F', '6') 704
('0', 'F', '7') 2519R
('0', 'F', '8') 739R
('0', 'F', '9') 5252
('0', 'F', 'A') 802
('0', 'F', 'B') 835R
('0', 'F', 'C') 5284R
('0', 'F', 'D') 1214
('0', 'F', 'E') 818R
('0', 'F', 'F') 5243
('1', '0', '0') 1251
('1', '0', '1') 3271
('1', '0', '2') 4206R
('1', '0', '3') 2968
('1', '0', '4') 928R
('1', '0', '5') 1044R
('1', '0', '6') 332R
('1', '0', '7') 2605R
('1', '0', '8') 225R
('1', '0', '9') 8036R
('1', '0', 'A') 1374R
('1', '0', 'B') 147
('1', '0', 'C') 1565R
('1', '0', 'D') 74R
('1', '0', 'E') 3599
('1', '0', 'F') 859R
('1', '1', '0') 1451R
('1', '1', '1') 2986
('1', '1', '2') 1832R
('1', '1', '3') 2579
('1', '1', '4') 487R
('1', '1', '5') 1140R
('1', '1', '6') 518
('1', '1', '7') 3583R
('1', '1', '8') 2695
('1', '1', '9') 1956R
('1', '1', 'A') 1452
('1', '1', 'B') 1891
('1', '1', 'C') 2016
('1', '1', 'D') 1957
('1', '1', 'E') 2286R
('1', '1', 'F') 1141
('1', '2', '0') 923
('1', '2', '1') 5466
('1', '2', '2') 1658
('1', '2', '3') 2904R
('1', '2', '4') 988
('1', '2', '5') 2133R
('1', '2', '6') 6030R
('1', '2', '7') 2802
('1', '2', '8') 67R
('1', '2', '9') 128R
('1', '2', 'A') 2928
('1', '2', 'B') 633R
('1', '2', 'C') 201
('1', '2', 'D') 1465R
('1', '2', 'E') 751R
('1', '2', 'F') 1656R
('1', '3', '0') 2969R
('1', '3', '1') 16
('1', '3', '2') 4987
('1', '3', '3') 811
('1', '3', '4') 1540
('1', '3', '5') 3174R
('1', '3', '6') 4645R
('1', '3', '7') 76
('1', '3', '8') 539R
('1', '3', '9') 556R
('1', '3', 'A') 2607
('1', '3', 'B') 5023
('1', '3', 'C') 334
('1', '3', 'D') 14R
('1', '3', 'E') 1786
('1', '3', 'F') 43R
('1', '4', '0') 4251
('1', '4', '1') 489
('1', '4', '2') 1830
('1', '4', '3') 486R
('1', '4', '4') 460
('1', '4', '5') 1155
('1', '4', '6') 1889R
('1', '4', '7') 536R
('1', '4', '8') 639
('1', '4', '9') 4445R
('1', '4', 'A') 308R
('1', '4', 'B') 411
('1', '4', 'C') 2216R
('1', '4', 'D') 2931
('1', '4', 'E') 2312R
('1', '4', 'F') 4355
('1', '5', '0') 2943
('1', '5', '1') 3372
('1', '5', '2') 1310
('1', '5', '3') 3050
('1', '5', '4') 298
('1', '5', '5') 2800R
('1', '5', '6') 682R
('1', '5', '7') 249
('1', '5', '8') 2874R
('1', '5', '9') 4762
('1', '5', 'A') 785R
('1', '5', 'B') 809R
('1', '5', 'C') 1139R
('1', '5', 'D') 2062
('1', '5', 'E') 5939
('1', '5', 'F') 2548R
('1', '6', '0') 958R
('1', '6', '1') 2926
('1', '6', '2') 3851
